date,TICKER,PRC,RET,,
2007-01-03,VNQ,77.12,0.001558,,
2007-01-04,VNQ,77.22,0.001297,,
2007-01-05,VNQ,75.79,-0.018519,,
2007-01-08,VNQ,75.9,0.001451,,
2007-01-09,VNQ,76.86,0.012648,,
2007-01-10,VNQ,77.85,0.012881,,
2007-01-11,VNQ,78.86,0.012974,,
2007-01-12,VNQ,79.11,0.00317,,
2007-01-16,VNQ,80.24,0.014284,,
2007-01-17,VNQ,80.2,-0.000499,,
2007-01-18,VNQ,80.1,-0.001247,,
2007-01-19,VNQ,80.9,0.009988,,
2007-01-22,VNQ,80.22,-0.008405,,
2007-01-23,VNQ,80.6,0.004737,,
2007-01-24,VNQ,81.65,0.013027,,
2007-01-25,VNQ,82.15,0.006124,,
2007-01-26,VNQ,82.42,0.003287,,
2007-01-29,VNQ,82.69,0.003276,,
2007-01-30,VNQ,83.1,0.004958,,
2007-01-31,VNQ,83.76,0.007942,,
2007-02-01,VNQ,84.09,0.00394,,
2007-02-02,VNQ,84.24,0.001784,,
2007-02-05,VNQ,84.24,0,,
2007-02-06,VNQ,85.48,0.01472,,
2007-02-07,VNQ,87.27,0.02094,,
2007-02-08,VNQ,86.6,-0.007677,,
2007-02-09,VNQ,85.6,-0.011547,,
2007-02-12,VNQ,84.05,-0.018107,,
2007-02-13,VNQ,85.68,0.019393,,
2007-02-14,VNQ,85.07,-0.00712,,
2007-02-15,VNQ,85.7,0.007406,,
2007-02-16,VNQ,85.48,-0.002567,,
2007-02-20,VNQ,86.14,0.007721,,
2007-02-21,VNQ,85.86,-0.003251,,
2007-02-22,VNQ,85.4,-0.005358,,
2007-02-23,VNQ,83.91,-0.017447,,
2007-02-26,VNQ,83.49,-0.005005,,
2007-02-27,VNQ,80.9,-0.031022,,
2007-02-28,VNQ,81.4,0.00618,,
2007-03-01,VNQ,80.68,-0.008845,,
2007-03-02,VNQ,79.4,-0.015865,,
2007-03-05,VNQ,76.31,-0.038917,,
2007-03-06,VNQ,79.11,0.036692,,
2007-03-07,VNQ,78,-0.014031,,
2007-03-08,VNQ,79.25,0.016026,,
2007-03-09,VNQ,80.3,0.013249,,
2007-03-12,VNQ,80.7,0.004981,,
2007-03-13,VNQ,78.8,-0.023544,,
2007-03-14,VNQ,79.18,0.004822,,
2007-03-15,VNQ,79.89,0.008967,,
2007-03-16,VNQ,79,-0.01114,,
2007-03-19,VNQ,79.79,0.01,,
2007-03-20,VNQ,80.11,0.004011,,
2007-03-21,VNQ,81.08,0.012108,,
2007-03-22,VNQ,81.16,0.000987,,
2007-03-23,VNQ,81.21,0.000616,,
