date,TICKER,Cleaned_Price,Cleaned_Return
2007-01-03,MSFT,29.86,0
2007-01-04,MSFT,29.81,-0.001674481
2007-01-05,MSFT,29.64,-0.005702784
2007-01-08,MSFT,29.93,0.009784076
2007-01-09,MSFT,29.96,0.001002339
2007-01-10,MSFT,29.66,-0.010013351
2007-01-11,MSFT,30.7,0.035064059
2007-01-12,MSFT,31.21,0.016612378
2007-01-16,MSFT,31.16,-0.001602051
2007-01-17,MSFT,31.1,-0.001925546
2007-01-18,MSFT,31,-0.003215434
2007-01-19,MSFT,31.11,0.003548387
2007-01-22,MSFT,30.72,-0.012536162
2007-01-23,MSFT,30.74,0.000651042
2007-01-24,MSFT,31.09,0.011385817
2007-01-25,MSFT,30.45,-0.020585397
2007-01-26,MSFT,30.6,0.004926108
2007-01-29,MSFT,30.53,-0.002287582
2007-01-30,MSFT,30.48,-0.001637733
2007-01-31,MSFT,30.86,0.012467192
2007-02-01,MSFT,30.56,-0.009721322
2007-02-02,MSFT,30.19,-0.01210733
2007-02-05,MSFT,29.61,-0.019211659
2007-02-06,MSFT,29.51,-0.003377237
2007-02-07,MSFT,29.37,-0.004744155
2007-02-08,MSFT,29.26,-0.003745318
2007-02-09,MSFT,28.98,-0.009569378
2007-02-12,MSFT,28.94,-0.001380262
2007-02-13,MSFT,29.03,0.003109883
2007-02-14,MSFT,29.4,0.012745436
2007-02-15,MSFT,29.46,0.002040816
2007-02-16,MSFT,28.74,-0.024439919
2007-02-20,MSFT,28.83,0.003131524
2007-02-21,MSFT,29.35,0.018036767
2007-02-22,MSFT,29.39,0.001362862
2007-02-23,MSFT,28.9,-0.016672338
2007-02-26,MSFT,29.07,0.005882353
2007-02-27,MSFT,27.87,-0.04127967
2007-02-28,MSFT,28.17,0.010764263
2007-03-01,MSFT,28.09,-0.002839901
2007-03-02,MSFT,27.76,-0.011747953
2007-03-05,MSFT,27.5499,-0.007568444
2007-03-06,MSFT,27.83,0.010167006
2007-03-07,MSFT,27.61,-0.007905138
2007-03-08,MSFT,27.32,-0.010503441
2007-03-09,MSFT,27.29,-0.001098097
2007-03-12,MSFT,27.44,0.005496519
2007-03-13,MSFT,26.72,-0.026239067
2007-03-14,MSFT,27.4,0.025449102
2007-03-15,MSFT,27.28,-0.004379562
2007-03-16,MSFT,27.33,0.001832845
2007-03-19,MSFT,27.83,0.018294914
2007-03-20,MSFT,27.84,0.000359324
2007-03-21,MSFT,28.52,0.024425287
2007-03-22,MSFT,28.27,-0.008765778
2007-03-23,MSFT,28.02,-0.008843297
2007-03-26,MSFT,28.22,0.007137759
2007-03-27,MSFT,27.72,-0.017717931
2007-03-28,MSFT,27.64,-0.002886003
2007-03-29,MSFT,27.75,0.00397974
2007-03-30,MSFT,27.87,0.004324324
2007-04-02,MSFT,27.74,-0.004664514
2007-04-03,MSFT,27.87,0.004686373
2007-04-04,MSFT,28.5,0.022604952
2007-04-05,MSFT,28.55,0.001754386
2007-04-09,MSFT,28.57,0.000700525
2007-04-10,MSFT,28.4,-0.005950298
2007-04-11,MSFT,28.11,-0.010211268
2007-04-12,MSFT,28.54,0.015297047
2007-04-13,MSFT,28.61,0.002452698
2007-04-16,MSFT,28.73,0.004194338
2007-04-17,MSFT,28.85,0.004176819
2007-04-18,MSFT,28.6,-0.008665511
2007-04-19,MSFT,28.69,0.003146853
2007-04-20,MSFT,29.02,0.011502266
2007-04-23,MSFT,28.78,-0.008270159
2007-04-24,MSFT,28.79,0.000347464
2007-04-25,MSFT,28.99,0.006946857
2007-04-26,MSFT,29.1,0.003794412
2007-04-27,MSFT,30.12,0.035051546
2007-04-30,MSFT,29.94,-0.005976096
2007-05-01,MSFT,30.4,0.015364061
2007-05-02,MSFT,30.61,0.006907895
2007-05-03,MSFT,30.97,0.011760862
2007-05-04,MSFT,30.56,-0.013238618
2007-05-07,MSFT,30.71,0.004908377
2007-05-08,MSFT,30.75,0.001302507
2007-05-09,MSFT,30.7799,0.000972358
2007-05-10,MSFT,30.58,-0.006494498
2007-05-11,MSFT,30.89,0.010137345
2007-05-14,MSFT,30.97,0.002589835
2007-05-15,MSFT,30.9,-0.002260252
2007-05-16,MSFT,31.07,0.005501618
2007-05-17,MSFT,30.98,-0.002896685
2007-05-18,MSFT,30.83,-0.004841833
2007-05-21,MSFT,31.05,0.007135907
2007-05-22,MSFT,30.69,-0.011594203
2007-05-23,MSFT,30.58,-0.003584229
2007-05-24,MSFT,30.17,-0.013407456
2007-05-25,MSFT,30.48,0.010275108
2007-05-29,MSFT,30.79,0.010170604
2007-05-30,MSFT,31.11,0.010392985
2007-05-31,MSFT,30.6901,-0.013497268
2007-06-01,MSFT,30.59,-0.003261638
2007-06-04,MSFT,30.715,0.004086303
2007-06-05,MSFT,30.58,-0.004395247
2007-06-06,MSFT,30.29,-0.009483322
2007-06-07,MSFT,29.62,-0.022119511
2007-06-08,MSFT,30.05,0.014517218
2007-06-11,MSFT,30.02,-0.000998336
2007-06-12,MSFT,29.85,-0.005662891
2007-06-13,MSFT,30.39,0.018090452
2007-06-14,MSFT,30.52,0.004277723
2007-06-15,MSFT,30.49,-0.000982962
2007-06-18,MSFT,30.51,0.000655953
2007-06-19,MSFT,30.46,-0.001638807
2007-06-20,MSFT,30.01,-0.014773473
2007-06-21,MSFT,30.22,0.006997667
2007-06-22,MSFT,29.49,-0.024156188
2007-06-25,MSFT,29.49,0
2007-06-26,MSFT,29.52,0.001017294
2007-06-27,MSFT,29.87,0.011856369
2007-06-28,MSFT,29.83,-0.001339136
2007-06-29,MSFT,29.47,-0.012068388
2007-07-02,MSFT,29.74,0.00916186
2007-07-03,MSFT,30.02,0.009414929
2007-07-05,MSFT,29.99,-0.000999334
2007-07-06,MSFT,29.97,-0.000666889
2007-07-09,MSFT,29.87,-0.00333667
2007-07-10,MSFT,29.33,-0.018078339
2007-07-11,MSFT,29.49,0.005455165
2007-07-12,MSFT,30.07,0.019667684
2007-07-13,MSFT,29.82,-0.008313934
2007-07-16,MSFT,30.03,0.007042254
2007-07-17,MSFT,30.7799,0.024971695
2007-07-18,MSFT,30.92,0.004551672
2007-07-19,MSFT,31.51,0.019081501
2007-07-20,MSFT,31.16,-0.011107585
2007-07-23,MSFT,31.19,0.000962773
2007-07-24,MSFT,30.8,-0.012504008
2007-07-25,MSFT,30.71,-0.002922078
2007-07-26,MSFT,29.98,-0.023770759
2007-07-27,MSFT,29.3901,-0.019676451
2007-07-30,MSFT,29.4,0.000336848
2007-07-31,MSFT,28.99,-0.013945578
2007-08-01,MSFT,29.3,0.010693343
